term,pos,comment,is_case_sensitive,en,comment_en
རྣམ་ཐོས་ ཀྱི་ བུ,,person-Vaiśravaṇa,yes,Vaiśravaṇa,King of an unspecified land during the reign of King Maitrībala in Vārāṇasī. Not to be confused with great king Vaiśravaṇa.
རྣམ་ཐོས་ ཀྱི་ བུ,,person-Vaiśravaṇa,yes,Vaiśravaṇa,"One of the four great guardian kings, he presides over the northern quarter and rules over the yakṣas. He is also known as Kubera."
རྣམ་ཐོས་ ཀྱི་ བུ,,person-Vaiśravaṇa,yes,Vaiśravaṇa,"The “Son of Viśrava (Completely Renowned),” guardian of the northern direction. He and his father are both also referred to as Kubera, and he is also known as Jambhala. He rules over spirits called guhyakas (literally “secret/hidden ones”), described in various capacities, giving rise to his epithet Guhyakādhipati, “Lord of the Guhyakas.”"
རྣམ་ཐོས་ ཀྱི་ བུ,,person-Vaiśravaṇa,yes,Vaiśravaṇa,"One of the “four great kings, guardians of the world,” he is held to dwell in the north, presiding over the yakṣa spirits that live there."
རྣམ་ཐོས་ ཀྱི་ བུ,,person-Vaiśravaṇa,yes,Vaiśravaṇa,"One of the Four Great Kings, he presides over the northern quarter and rules over the yakṣas. He is also known as Kubera."
རྣམ་ཐོས་ ཀྱི་ བུ,,person-Vaiśravaṇa,yes,Vaiśravaṇa,
རྣམ་ཐོས་ ཀྱི་ བུ,,person-Vaiśravaṇa,yes,Vaiśravaṇa,"One of the four great guardian kings, he presides over the northern direction and rules over the yakṣas."
རྣམ་ཐོས་ བུ,,person-Vaiśravaṇa,yes,Vaiśravaṇa,The Catur­mahā­rāja of the northern direction who rules over the yakṣas.
རྣམ་ཐོས་ བུ,,person-Vaiśravaṇa,yes,Vaiśravaṇa,A yakṣa.
རྣམ་ཐོས་ བུ,,person-Vaiśravaṇa,yes,Vaiśravaṇa,"One of the eight guardians of the directions, Vaiśravaṇa guards the northern quarter. Also known as Kubera."
རྣམ་ཐོས,,person-Vaiśravaṇa,yes,Vaiśravaṇa,Another name of Kubera.
རྣམ་ཐོས,,person-Vaiśravaṇa,yes,Vaiśravaṇa,"Another name for Kubera, king of the yakṣas. Among the four great kings who preside over the directions, Vaiśravaṇa is the king in the north."
རྣམ་དག,ADJ,place-Viśuddha,yes,Viśuddha,A buddha realm.
རྣམ་དག,ADJ,place-—,yes,Purity,A buddha field in the future where the bodhisattva Immaculately Moved by Beings attains buddhahood as Candraprabha.
རྣམ་དག་ དད་པ,,person-vimalaśraddhā,yes,Vimalaśraddhā,“Completely Pure Faith.” The daughter of King Prasenajit.
རྣམ་དག་ བློ་གྲོས,,person-Viśuddhamati,yes,Viśuddhamati,One of the future buddhas of this kalpa.
རྣམ་དག་ རྣམ་པ་ -ར་ གནོན,,person-—,yes,Heroic Purity,A bodhisattva.
རྣམ་དག་ སྒྲ་ ཡི་ དབང་ཕྱུག,,person-Viśuddha­ghoṣeśvara,yes,Viśuddha­ghoṣeśvara,
རྣམ་དག་ སྤྱོད་པ,,person-Viśuddhacārin,yes,Viśuddhacārin,A bhikṣu who was a pupil of Śāriputra.
རྣམ་པ་ གཅིག་ ཏུ་ གྱུར་པ,,term-ekā­kāra,yes,Unity of Aspects,Name of the eighty-fourth meditative stability.
རྣམ་པ་ ཐམས་ཅད་ ཀྱི་ མཆོག་ དང་ ལྡན་པ,,term-sarvākārāva­tāra,yes,Endowed with All Finest Aspects,Name of the ninety-second meditative stability.
རྣམ་པ་ དུ་མ་ -ར་ འགྲོ་བ,,place-—,yes,Diverse Movements,A forest in Continuous Movement.
རྣམ་པ་ དོར་བ་ མེད་པ,,term-ākārān­ava­kāra,yes,Non-dispersion of Aspects,Name of the eighty-fifth meditative stability.
རྣམ་པ་ བཅུ་གཉིས་ དང་ ལྡན་པ་ -འི་ ཆོས་ ཀྱི་ འཁོར་ལོ,,term-dvādaśa­kāra­dharma­cakram,yes,Twelvefold wheel of Dharma,
རྣམ་པ་ མངོན་པར་ བསྒྲུབ་པ,,term-ākārān­abhi­niveśa­nirhāra,yes,Manifest Attainment of Modalities,Name of the eighty-third meditative stability.
རྣམ་པ་ མེད་པ,,term-a­vi­kāra,yes,Unmodified,Name of the sixty-fifth meditative stability.
རྣམ་པ་ ཟད་ མི་ ཤེས་པ,,term-a­kṣayākāra,yes,Inexhaustible Cornucopia,Name of the ninety-fourth meditative stability.
རྣམ་པ་ སྣ་ ཙོགས,,place-—,yes,Variation,A river in Majestic Trees.
རྣམ་པ་ སྣ་ཚོགས་པ་ -ར་ རྣམ་པ་ -ར་ བཀྲ་བ,,place-—,yes,Shining in Manifold Ways,One of the twenty-seven realms of the Heaven Free from Strife.
རྣམ་པ་ -འི་ མཆུ་ཅན,,person-Vituṇḍaka,yes,Vituṇḍaka,
རྣམ་པ་ -ར་ གནོན་པ་ དཔག་མེད,,person-—,yes,Unfathomable Subduer,A buddha.
རྣམ་པ་ -ར་ གནོན་པ་ དོན་ཡོད,,person-*amoghavikrāmin,yes,Amoghavikrāmin,A bodhisattva.
རྣམ་པ་ -ར་ གནོན་པ་ བཟང་པོ,,person-Suvikrāmin,yes,Suvikrāmin,A head merchant’s son in Dhanyākara.
རྣམ་པ་ -ར་ གནོན་པ,,person-Vikrama,yes,Vikrama,Vikrama or Vikramāditya is another name of the Gupta emperor Candragupta II.
རྣམ་པ་ -ར་ གནོན་པ་ -འི་ ལྷ་ སྟབས,,person-Vikrānta­deva­gati,yes,Vikrānta­deva­gati,The twenty-ninth buddha in a kalpa in the distant past.
རྣམ་པ་ -ར་ གནོན,,person-Vikrāmin,yes,Vikrāmin,A great bodhisattva.
རྣམ་པ་ -ར་ གཟིགས་པ,,person-Vipaśyin,yes,Vipaśyin,One of the six buddhas who preceded Śākyamuni in this Fortunate Eon.
རྣམ་པ་ -ར་ གཟིགས་པ་ -འི་ ང་རོ,,person-—,yes,Roar of Vision,The name of a thus-gone one in a world system called Mirage that existed thirty eons ago.
རྣམ་པ་ -ར་ གཟིགས,,person-Vipaśyin,yes,Vipaśyin,A buddha.
རྣམ་པ་ -ར་ གཟིགས,,person-Vipaśyin,yes,Vipaśyin,One of the seven buddhas preceding the Buddha Śākyamuni.
རྣམ་པ་ -ར་ གཟིགས,,person-Vipaśyin,yes,Vipaśyin,"The first of the seven buddhas, with Śākyamuni as the seventh. The first three of the buddhas appeared in an earlier time than this present “fortunate eon.”"
རྣམ་པ་ -ར་ གཟིགས,,person-Vipaśyin,yes,Vipaśyin,One of the tathāgatas.
རྣམ་པ་ -ར་ གཟིགས,,person-Vipaśyin,yes,Vipaśyin,A buddha of a previous eon.
རྣམ་པ་ -ར་ གཟིགས,,person-Vipaśyin,yes,Vipaśyin,A buddha in the past.
རྣམ་པ་ -ར་ གཟིགས,,person-Vipaśyin,yes,Vipaśyin,The Buddha that Ulka will become in the future.
རྣམ་པ་ -ར་ གཟིགས,,person-Vipaśyin,yes,Vipaśyin,The first of of the “seven previous buddhas.”
རྣམ་པ་ -ར་ གཟིགས,,person-Vipaśyin,yes,Vipaśyin,The first of the seven tathāgatas/buddhas. Identified in other texts as the last but two of the buddhas that appeared in the eon that preceded the present one.
རྣམ་པ་ -ར་ གཟིགས,,person-Vipaśyin,yes,Vipaśyin,A previous buddha.
རྣམ་པ་ -ར་ གཟིགས,,person-Vipaśyin,yes,Vipaśyin,Past buddha of the ninety-first eon; often counted as the sixth buddha before Śākyamuni.
རྣམ་པ་ -ར་ གཟིགས,,person-Vipaśyin,yes,Vipaśyin,The first of the seven buddhas of the past.
རྣམ་པ་ -ར་ གཟིགས,,person-Vipaśyin,yes,Vipaśyin,"In early Buddhism the first of seven buddhas, with Śākyamuni as the seventh. The first three buddhas—Vipaśyin, Śikhin, and Viśvabhuk—appeared in a kalpa earlier than our Bhadra kalpa, and therefore Śākyamuni is more commonly referred to as the fourth buddha."
རྣམ་པ་ -ར་ གཟིགས,,person-Vipaśyin,yes,Vipaśyin,One of the tathāgatas attending the delivery of the MMK.
རྣམ་པ་ -ར་ གཟིགས,,person-Vipaśyin,yes,Vipaśyin,"In early Buddhism, the first of the seven buddhas, with Śākyamuni as the seventh. The first three buddhas —Vipaśyin, Śikhin, and Viśvabhu—are in an earlier eon than the Bhadraka eon, and therefore Śākyamuni is more commonly referred to as the fourth buddha."
རྣམ་པ་ -ར་ གཟིགས,,person-Vipaśyin,yes,Vipaśyin,"In early Buddhism, the first of the seven buddhas, with Śākyamuni as the seventh. The first three buddhas —Vipaśyin, Śikhin, and Viśvabhu—are in an earlier eon than the Bhadraka eon, and therefore Śākyamuni is more commonly referred to as the fourth buddha."
རྣམ་པ་ -ར་ གཟིགས,,person-Vipaśyin,yes,Vipaśyin,The first of six buddhas who preceded Śākyamuni.
རྣམ་པ་ -ར་ གཟིགས,,person-Vipaśyin,yes,Vipaśyin,
རྣམ་པ་ -ར་ གཡེངས་ བྱེད,,person-Vikarāla,yes,Vikarāla,A king of piśācas.
རྣམ་པ་ -ར་ གྲགས་པ,,person-Viśiṣṭa,yes,Viśiṣṭa,One of the future buddhas of this kalpa.
རྣམ་པ་ -ར་ གྲགས་པ་ -འི་ གཟི་བརྗིད,,person-Vighuṣṭatejas,yes,Vighuṣṭatejas,
རྣམ་པ་ -ར་ གྲགས་པ་ -འི་ དཔལ,,person-Vikhyātaśriyā,yes,Vikhyātaśriyā,One of the vidyārājñīs dwelling with Śākyamuni in the realm of the Pure Abode.
རྣམ་པ་ -ར་ གྲགས་པ་ -འི་ དབྱངས,,person-Vighuṣṭaghoṣa,yes,Vighuṣṭaghoṣa,
རྣམ་པ་ -ར་ གྲགས་པ་ -འི་ ཕུང་པོ,,person-Vikhyātarāśi,yes,Vikhyātarāśi,One of the uṣṇīṣa kings attending the delivery of the MMK.
རྣམ་པ་ -ར་ གྲགས་པ་ -འི་ ཡིད,,person-Vikhyātamanasa,yes,Vikhyātamanasa,One of the vidyārājas dwelling with Śākyamuni in the realm of the Pure Abode.
རྣམ་པ་ -ར་ གྲགས་པ་ -འི་ སྤྱན,,person-Vighuṣṭanetra,yes,Vighuṣṭanetra,
རྣམ་པ་ -ར་ གྲོལ་བ་ ཉམས་པ་ མེད་པ་ -འམ་ རྣམ་པ་ -ར་ གྲོལ་བ་ -འི་ ཡེ་ཤེས་ མཐོང་བ་ ཉམས་པ་ མེད་པ,,term-nāsti vi­mukti­hāniḥ nāsti vi­mukti­jñāna­darśana­hāniḥ,yes,"Do not degenerate in their liberation, nor in their perception of liberating pristine cognition",Twelfth of the eighteen distinct qualities of the buddhas.
རྣམ་པ་ -ར་ གྲོལ་བ,,term-vimokṣa,yes,Liberation,
རྣམ་པ་ -ར་ གྲོལ་བ་ -འི་ དབྱངས,,person-Vimuktighoṣa,yes,Vimuktighoṣa,One of the future buddhas of this kalpa.
རྣམ་པ་ -ར་ གྲོལ་བ་ -འི་ ཕུང་པོ,,term-vi­mukti­skandha,yes,Aggregate of liberation,Fourth of the five definitive aggregates.
རྣམ་པ་ -ར་ གྲོལ་བ་ -འི་ ཕུང་པོ,,place-vimuktiskandha,yes,Aggregate of liberation,Fourth of the five pure aggregates.
རྣམ་པ་ -ར་ གྲོལ་བ་ -འི་ ཟླ་བ,,person-Vi­mukti­candra,yes,Vi­mukti­candra,A great bodhisattva.
རྣམ་པ་ -ར་ གྲོལ་བ་ -འི་ ཡེ་ཤེས་ མཐོང་བ,,term-vimukti­jñāna­darśana,yes,Vision of liberating wisdom,
རྣམ་པ་ -ར་ གྲོལ་བ་ -འི་ ཡེ་ཤེས་ མཐོང་བ,,term-vimukti­jñāna­darśana,yes,Knowledge and vision of liberation,
རྣམ་པ་ -ར་ གྲོལ་བ་ -འི་ ཡེ་ཤེས་ མཐོང་བ་ -འི་ ཕུང་པོ,,term-vi­mukti­jñāna­darśana­skandha,yes,Aggregate of the perception of liberating pristine cognition,Fifth of the five definitive aggregates.
རྣམ་པ་ -ར་ གྲོལ་བ་ -འི་ ཡེ་ཤེས་ མཐོང་བ་ -འི་ ཕུང་པོ,,term-vimukti­jñāna­darśana­skandha,yes,Aggregate of liberated wisdom vision,Fifth of the five pure aggregates.
རྣམ་པ་ -ར་ གྲོལ་བ་ -འི་ ཤེས་པ,,term-vi­mukti­jñāna,yes,Knowledge of liberation,
རྣམ་པ་ -ར་ གྲོལ་བ་ -འི་ སྐྱེ་མཆེད་ བཅུ་གཅིག,,term-ekādaśa­vimuktāyatanāni,yes,Eleven liberated sense fields,
རྣམ་པ་ -ར་ གྲོལ,,term-vi­mucyate,yes,Liberated,
རྣམ་པ་ -ར་ ཐར་པ་ བརྒྱད,,term-aṣṭa­vimokṣa,yes,Eight aspects of liberation,"The eight aspects of liberation ensue: (1) when corporeal beings observe physical forms [in order to compose the mind]; (2) when formless beings endowed with internal perception observe external physical forms; (3) when beings are inclined toward pleasant states; (4) when one achieves and abides in the sense field of infinite space, thinking, ‘Space is infinite.’ (5) The fifth ensues when one achieves and abides in the sense field of infinite consciousness, thinking, ‘Consciousness is infinite.’ (6) The sixth is when one achieves and abides in the sense field of nothing-at-all, thinking, ‘There is nothing at all.’ (7) The seventh is when one achieves and abides in the sense field of neither perception nor non-perception. (8) The eighth is when one achieves and abides in the cessation of all perceptions and feelings. For a more complete description, see note https://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-176."
རྣམ་པ་ -ར་ ཐར་པ་ བརྒྱད,,term-aṣṭavimokṣa,yes,Eight aspects of liberation,"The eight aspects of liberation ensue: (1) when corporeal beings observe physical forms [in order to compose the mind]; (2) when formless beings endowed with internal perception observe external physical forms; (3) when beings are inclined toward pleasant states; (4) when one achieves and abides in the sense field of infinite space, thinking, ‘Space is infinite.’ (5) The fifth ensues when one achieves and abides in the sense field of infinite consciousness, thinking, ‘Consciousness is infinite.’ (6) The sixth is when one achieves and abides in the sense field of nothing-at-all, thinking, ‘There is nothing at all.’ (7) The seventh is when one achieves and abides in the sense field of neither perception nor non-perception. (8) The eighth is when one achieves and abides in the cessation of all perceptions and feelings."
རྣམ་པ་ -ར་ ཐར་པ་ བསམ་ གྱིས་ མི་ ཁྱབ་པ་ ལ་ ཡང་དག་པ་ -ར་ ཞུགས་པ,,person-—,yes,Engaged in Inconceivable Liberation,
རྣམ་པ་ -ར་ ཐར་པ་ བསམ་ གྱིས་ མི་ ཁྱབ་པ,,term-acintyavimokṣa,yes,Inconceivable liberation,"Inconceivable liberation of the bodhisattvas, a name of the Avataṃsaka, and a subtitle of the Vimala­kīrti­nirdeśa."
རྣམ་པ་ -ར་ ཐར་པ་ རྣམ་པ་ -ར་ གནོན,,person-—,yes,Heroic Liberation,A bodhisattva.
རྣམ་པ་ -ར་ ཐར་པ་ སྒྲིབ་པ་ མེད་པ་ ལ་ སངས་རྒྱས་ རྣམ་པ་ -ར་ རོལ་པ,,term-—,yes,Buddha play in unveiled liberation,The name of an absorption.
རྣམ་པ་ -ར་ ཐར་པ,,term-vimokṣa,yes,Liberation,"Eight such accomplishments are traditionally enumerated: the liberation of form observing form, the liberation of the formless observing form, the liberation of observing beauty, the liberation of infinite space, the liberation of infinite consciousness, the liberation of nothing whatsoever, the liberation of neither presence nor absence of perception, and the liberation of cessation. (Note that “liberation” has also been used to render rnam par grol ba)."
རྣམ་པ་ -ར་ ཐར་པ,,term-vimokṣa,yes,Liberation,See Hayal 1978: 229.
རྣམ་པ་ -ར་ ཐར་པ,,term-vimokṣa,yes,Aspect of liberation,See “eight aspects of liberation.”
རྣམ་པ་ -ར་ ཐར་པ,,term-vimokṣa,yes,Liberation,The eight kinds of liberation refer to eight meditative states: (1) the perception of material form by one who has form; (2) the perception of material form by one without form; (3) the beautiful; (4) infinite space; (5) infinite consciousness; (6) nothingness; (7) neither perception nor absence of perception; and (8) the cessation of perception and feeling.
རྣམ་པ་ -ར་ ཐར་པ,,term-vimokṣa,yes,Liberations,"In certain contexts this is a term for a method for attaining liberation. There is a traditional list of eight: liberation through (1) seeing that which has form as form (perceiving dependent origination, etc.), (2) seeing the formless as form (perceiving emptiness, etc., as dependent origination), (3) beauty (perceiving emptiness as beautiful), (4) the formless meditation of infinite space, (5) the formless meditation of infinite consciousness, (6) the formless meditation of nothingness, (7) the formless meditation of neither perception nor nonperception, and (8) cessation."
རྣམ་པ་ -ར་ ཐར་པ,,term-vimokṣa; vimokṣamukha,yes,Doors to liberation,"There are three doors to liberation: emptiness, the absence of characteristics, and the absence of aspiration."
རྣམ་པ་ -ར་ ཐར་པ,,term-vimokṣa; mokṣa; vimukti,yes,Liberation,The state of freedom from suffering and saṃsāra that is the goal of the Buddhist path.
རྣམ་པ་ -ར་ ཐར་པ་ -འི་ ཟླ་བ,,person-Vimokṣacandra,yes,Vimokṣacandra,One of the future buddhas of this kalpa.
རྣམ་པ་ -ར་ ཐར་པ་ -འི་ སྒོ་གསུམ,,term-trivimokṣa­mukha; trīṇi vimokṣa­mukhāni,yes,Three gates of liberation,See “three liberations.”
རྣམ་པ་ -ར་ ཐར་པ་ -འི་ སྒོ་གསུམ,,term-tri­vimokṣa­dvāra,yes,Three gateways of liberation,"Emptiness, signlessness, and wishlessness."
རྣམ་པ་ -ར་ ཐར་པ་ -འི་ སྒོ་གསུམ,,term-trivimokṣamukha,yes,Three gateways of liberation,"Emptiness, absence of marks, and wishlessness."
རྣམ་པ་ -ར་ ཐར་པ་ -འི་ སྒོ་གསུམ,,term-trīṇi vimokṣa­mukhāni,yes,Three gateways of liberation,"Absence of marks, absence of wishes, and emptiness."
རྣམ་པ་ -ར་ ཐར་པ་ -འི་ སྒོ་གསུམ,,term-trivimokṣamukha,yes,Three doors of liberation,"Emptiness, signlessness, and wishlessness."
རྣམ་པ་ -ར་ ཐར་པ་ -འི་ སྒོ་ མཚན་མ་ མེད་པ,,term-a­nimitta­vimokṣa­mukha,yes,Signlessness as a gateway to liberation,Second of the three gateways to liberation.
རྣམ་པ་ -ར་ ཐར་པ་ -འི་ སྒོ་ སྟོང་པ་ཉིད,,term-śūnyatā­vimokṣa­mukha,yes,Emptiness as a gateway to liberation,First of the three gateways to liberation.
རྣམ་པ་ -ར་ ཐར་པ་ -འི་ སྒོ་ སྨོན་པ་ མེད་པ,,term-a­pra­ṇihita­vimokṣa­mukha,yes,Aspirationlessness as a gateway to liberation,Third of the three gateways to liberation.
རྣམ་པ་ -ར་ ཐར་པ་ -འི་ སྒོ,,term-vimokṣa­mukha,yes,Gateway to liberation,"There are three, namely emptiness as a gateway to liberation, signlessness as a gateway to liberation, and aspirationlessness as a gateway to liberation. Among them, emptiness is characterized as the absence of inherent existence, signlessness as the absence of mental images, and aspirationlessness as the absence of hopes and fears."
རྣམ་པ་ -ར་ ཐར་པ་ -འི་ སྒོ,,term-vimokṣamukha,yes,Doorways to liberation,"Emptiness, absence of attributes, and absence of aspiration."
རྣམ་པ་ -ར་ ཐར་པ་ -འི་ སྒོ,,term-vimokṣa­mukha,yes,Gateways to liberation,"There are three, namely emptiness as a gateway to liberation, signlessness as a gateway to liberation, and aspirationlessness as a gateway to liberation. Among them, emptiness is characterized as the absence of inherent existence, signlessness as the absence of mental images, and aspirationlessness as the absence of hopes and fears."
རྣམ་པ་ -ར་ ཐར་པ་ -འི་ སྒོ,,term-vimokṣamukha,yes,Gateways to liberation,"Three qualities related to ultimate reality: emptiness, signlessness, and wishlessness. In this sūtra, alse referred to as the three liberations."
རྣམ་པ་ -ར་ ཐར་པ་ -འི་ སྒོ,,term-vimokṣamukha,yes,Door to liberation,"There are three doors to liberation: emptiness, featurelessness, and aspirationlessness."
རྣམ་པ་ -ར་ ཐར་པ་ -འི་ སྒོ,,term-vimokṣamukha,yes,Doors of liberation,"A set of three points associated with the nature of reality that when contemplated and integrated lead to liberation. The three are emptiness, signlessness, and wishlessness."
རྣམ་པ་ -ར་ དག,,place-Viśuddha,yes,Viśuddha,A buddha realm.
རྣམ་པ་ -ར་ དག་ ཅིང་ རྡུལ་ བསགས་པ་ མེད,,place-—,yes,Pure and Unstained,The future buddha Samantadarśin’s buddha field.
རྣམ་པ་ -ར་ དག་པ་ གནས་པ,,place-—,yes,Perfectly Pure Abode,Name of the world system of the thus-gone one Attainer of Purity of Universal Illumination.
རྣམ་པ་ -ར་ དག་པ་ དྲི་མ་ མེད་པ་ -འི་ མིག,,person-—,yes,Pure and Stainless Eyes,A bodhisattva.
རྣམ་པ་ -ར་ དག་པ,,term-vi­śuddhi,yes,Purity,
རྣམ་པ་ -ར་ དག་པ,,term-Viprasanna,yes,Viprasanna,The name of a past eon.
རྣམ་པ་ -ར་ དག་པ,,person-Viśuddha,yes,Viśuddha,One of the gods from the realm of the Pure Abode.
རྣམ་པ་ -ར་ དག་པ་ -འི་ དཀྱིལ་འཁོར་ རྒྱལ་པོ,,person-—,yes,King of the Pure Sphere,A buddha.
རྣམ་པ་ -ར་ དག་པ་ -འི་ བློ་གྲོས,,person-Viśuddhamati,yes,Viśuddhamati,A buddha.
རྣམ་པ་ -ར་ དག་པ་ -འི་ བློ་གྲོས,,person-—,yes,Completely Pure Intelligence,A bodhisattva.
རྣམ་པ་ -ར་ དག་པ་ -འི་ མིག,,person-—,yes,Perfectly Pure Eye,A great bodhisattva.
རྣམ་པ་ -ར་ དག་པ་ -འི་ མྱིག,,person-Viśuddhanetra,yes,Viśuddhanetra,A bodhisattva present in Śrāvastī.
རྣམ་པ་ -ར་ དག་པ་ -འི་ འོད,,person-—,yes,Pure Light,A buddha.
རྣམ་པ་ -ར་ དག་པ་ -འི་ སྒོ,,term-—,yes,Pure access to the Dharma,
རྣམ་པ་ -ར་ དག་པ་ -འི་ སྤྱན,,person-Viśuddhanetra,yes,Viśuddhanetra,A buddha.
རྣམ་པ་ -ར་ དག་པ་ -འི་ སྤྱན,,person-Viśuddhanetra,yes,Viśuddhanetra,
རྣམ་པ་ -ར་ དག་པ་ -ས་ དགྱེས་པ,,person-Viśuddhanandin,yes,Viśuddhanandin,One of the future buddhas of this kalpa.
རྣམ་པ་ -ར་ དུ་མ་ རྣམ་པ་ -ར་ འཕྲུལ་པ,,person-—,yes,Numerous Manifestations,A buddha.
རྣམ་པ་ -ར་ བཀྲ་བ་ -འི་ ཆུ,,place-—,yes,Colorful Waters,A river in Moving in Vast Environments.
རྣམ་པ་ -ར་ བཀྲ་བ་ -འི་ ཆུ་ -འི་ པད་མ་ -འི་ རྫིང་བུ,,place-—,yes,Lotus Pool of Sparkling Waters,A forest in Total Pleasure.
རྣམ་པ་ -ར་ བརྒྱན་པ,,person-Vibhūṣita,yes,Vibhūṣita,One of the future buddhas of this kalpa.
རྣམ་པ་ -ར་ བལྟས་པ་ -འི་ ང་རོ,,person-—,yes,Roar of Sight,A great bodhisattva.
རྣམ་པ་ -ར་ བསྒྱིངས་པ,,person-Vijṛmbhita,yes,Vijṛmbhita,One of the bodhisattvas attending this teaching.
རྣམ་པ་ -ར་ བསྒྲགས་པ་ མཐའ་ ཡས,,person-—,yes,Infinite Renown,A great bodhisattva.
རྣམ་པ་ -ར་ བསྒྲགས་པ,,place-Vikhyāta,yes,Vikhyāta,A buddha realm.
རྣམ་པ་ -ར་ བསྒྲགས་པ་ -འི་ ཟླ་བ,,person-—,yes,Famous Moon,A bodhisattva.
རྣམ་པ་ -ར་ བསྒྲགས་པ་ -འི་ རྒྱལ་པོ,,person-—,yes,King of Fame,A great bodhisattva.
རྣམ་པ་ -ར་ བསྒྲགས་པ་ -འི་ རྒྱལ་པོ,,person-—,yes,King of Fame,A buddha.
རྣམ་པ་ -ར་ བསྒྲགས་པ་ -འི་ རྒྱལ་པོ,,person-Vinarditarāja,yes,Vinarditarāja,One of the future buddhas of this kalpa.
རྣམ་པ་ -ར་ བསྒྲགས་པ་ -འི་ སྒྲ,,place-—,yes,Sound of Renown,A buddha realm.
རྣམ་པ་ -ར་ བསྒྲགས་པ་ -འི་ སྟོབས་ ཀྱི་ འོད་ཟེར,,person-—,yes,Light Rays of Powerful Renown,A buddha.
རྣམ་པ་ -ར་ བསྒྲགས་པ་ -འི་ སྟོབས་ ཀྱི་ རྒྱལ་པོ,,person-—,yes,King of Renowned Power,A great bodhisattva.
རྣམ་པ་ -ར་ བསྒྲགས་པ་ -འི་ སྟོབས་ ཀྱི་ རྒྱལ་པོ,,person-—,yes,King of Renowned Power,A buddha.
རྣམ་པ་ -ར་ བསྒྲགས་པ་ -འི་ སྟོབས་ ཀྱིས་ འབར་བ,,person-—,yes,Blazing with Famed Power,A king and great bodhisattva.
རྣམ་པ་ -ར་ བྱང་བ,,term-vyavadānika,yes,Purified,
རྣམ་པ་ -ར་ བྱང་བ,,term-vyavadāna,yes,Purification,
རྣམ་པ་ -ར་ བྱང་བ,,term-vyavadāna,yes,Fully cleansed,The opposite of ‘totally afflicted.’
རྣམ་པ་ -ར་ མ་ དག་པ་ དང་ བྲལ་བ,,place-—,yes,Free of Impurity,Name of the world system of the thus-gone one Eternally Glorious Meaning of the Precious Irreversible Wheel.
རྣམ་པ་ -ར་ མ་ འཁྲུགས་པ་ -འི་ གོ་ཆ་ བགོས,,person-—,yes,Bearer of the Armor of Being Unperturbed,A great bodhisattva.
རྣམ་པ་ -ར་ མི་ རྟོག་པ,,person-Avikalpa,yes,Avikalpa,Name of a bodhisattva; “Nonconceptual.”
རྣམ་པ་ -ར་ མི་ རྟོག་པ་ -འི་ འོད,,person-—,yes,Light of Non-conceptuality,Name of the thus-gone one of the world system Supreme Dharma.
རྣམ་པ་ -ར་ མི་ རྟོག་ ཟླ་བ,,person-Avikalpacandra,yes,Avikalpacandra,Name of a bodhisattva; “Moon of Nonconceptuality.”
རྣམ་པ་ -ར་ མི་ རྟོག་ སྣང་བ,,person-Avikalpa­prabhāsa,yes,Avikalpa­prabhāsa,Name of a bodhisattva; “Light of Nonconceptuality.”
རྣམ་པ་ -ར་ ཞུ་ བྱེད,,person-Vidrāpaka,yes,Vidrāpaka,A vidyārāja from the personal retinue of Vajrapāṇi.
རྣམ་པ་ -ར་ འཇིགས་བྱེད,,person-Vibhīṣaṇa,yes,Vibhīṣaṇa,"One of the kings of the rākṣasas; also, the name of a yakṣa."
རྣམ་པ་ -ར་ འཇུ་ བྱེད,,person-Vidrāvaṇa,yes,Vidrāvaṇa,One of the kings of the rākṣasas.
རྣམ་པ་ -ར་ འཇོམས་པ,,term-vi­vṛta,yes,Subdued,Name of the forty-fifth meditative stability.
རྣམ་པ་ -ར་ འཇོམས་པ,,person-Pramathana,yes,Pramathana,A vidyārāja from the personal retinue of Vajrapāṇi.
རྣམ་པ་ -ར་ འཇོམས་པ་ -ར་ བྱེད་པ་ -འི་ རྒྱལ་པོ,,person-Vidhamanarāja,yes,Vidhamanarāja,One of the tathāgatas attending the delivery of the MMK.
རྣམ་པ་ -ར་ འཐོར་བ,,term-vi­kiraṇa,yes,Dispersal,Name of the sixtieth meditative stability.
རྣམ་པ་ -ར་ འཐོར་རླུང,,person-Vairambhaka,yes,Vairambhaka,A wind deity referred to as king of the wind.
རྣམ་པ་ -ར་ འཐོར་རླུང་ ཆེན་པོ,,person-Mahā­vairambhaka,yes,Great Vairambhaka,A wind deity referred to as king of the wind.
རྣམ་པ་ -ར་ འདལ་བ,,place-Vaipulya; Vaidalya,yes,Vaipulya,The name of this unidentified legendary mountain may be inspired by Vipula Mountain by Rājgir.
རྣམ་པ་ -ར་ འདུད,,place-Vinataka,yes,Vinataka,One of the seven golden mountains.
རྣམ་པ་ -ར་ འདྲེན་པ,,person-Vināyaka,yes,Vināyaka,“Remover of Obstacles”; the Buddhist version of Gaṇeśa.
རྣམ་པ་ -ར་ འཕྱང་ མ,,person-Vilambā,yes,Vilambā,A rākṣasī known only from this sūtra.
རྣམ་པ་ -ར་ འཕྲུལ་པ་ ཆེན་པོ,,person-—,yes,Great Emanation,A bodhisattva.
